NAME OF CHEMICAL,QUANTITY,NOTES
Media Ingredient Botton Cabinet,,
Bacto Agar,2,
Difco Dextrose,2,
Sodium dodecyl sulfate,2,
Milk Powder,1,
Bacto Yeast Extract,1,
Malt Extract,1,
Sodium Hydroxide,1,
Avicel PH-101,1,
Buffer Solution  pH 4,5,
Botton Cabinet,,
Sodium phosphate,1,
sucrose,1,
starch,1,
D-glucose,1,
Chollet N248,1,
NaOH,1,
Uracil,1,
Top Shelf,,
Ascorbic acid,1,
Acrylamide,1,
Agarose (Tablets),1,
Bath clear,2,
Blue stain,1,
Buffer Solution  pH 10,1,expired
Buffer solution ph 7,1,expired 
Saturated KCl solution,1,
Cetromonium bromide,1,
Cellulose,1,
Diatomaceous Earth powder,1,
Dicloran,1,
Glycerol,1,
Hexadecyltrimethyl-ammonium bromide,1,
Isoascorbic acid,1,
Lithium acetate dihydrate,1,
Lithium acetate monohydrate,1,
Malt Extract,1,
Mineral oil,1,
Manganese Chloride Tetrahydrate,1,
Niacinamide,1,
Pseudomonas agar,1,
Potato dextrose agar,1,
Polyninyl Pyrrolidone,2,
Potassium chloride,2,
Potassium Iodate,1,
Peptone,1,
Sorbitol,2,
Saponin,1,
Sodium Phosphate dibasic,1,
Sodium Phosphate monobasic,1,
Silver,1,
Silwet,1,
Sodium Phosphate monohydrate (powder in tubes),2,
Sodium phosphate anhydrous (powder in tubes),3,
Trichloroacetic acid,1,
Uridine,1,(almost over)
S. Harris chemical list,,
#,,
1-2-7-8-Diepoxyoctane,,
1-Butane,,
2-3-Butanedione monoxine,,
3[(3-Cholamidopropyl) dimethyl-ammino]-1-propanesulfonate hydrate 98%,,
5-Fluorouracil,,
8-Azaxontine monohydrate,,
8-hydroxyquinoline,,
A,,
Acriflavine,,
Acrylamide,,
Adenine,,
Agar,,
Agarose (SEA PLAQUE),,
Allopuinol,,
Allopurino,,
Aluminum oxide,,
Aminosalicyclic Acid,,
Ammonium Chloride,,
Ammonium heptamolybdate,,
Ammonium molybdate tetrahydrate puriss,,
Ammonium Nitrate,,
Ammonium Persulfate,,
Ammonium sulfate,,
Ammonium tartate dibasic,,
Anthranlic Acid,,
Arabinose,,
Ascorbic Acid,, 
Aurintricarboxylic Acid,,
Azaxanthine Monohydrate,,
B,,
BBL Acidicase peptone,,
BBL Mycosel Agar,,
BBL Sabouraud Dextrose Agar,,
Benomyl,,
Betain Hydrochloride 99%,,
Biotin,,
Blankopphor BBH,,
Bonide Benomyl 50%,,
Bonomyl,,
Boric Acid,,
Brilliant Blue,,
Bromophenol Blue,,
C,,
Cadmium Sulfate hydrate,,
Calcium Carbonate,,
Calcium Chloride dihydrate,,
Calcium Nitrate,,
Carboxymethyl Cellulose,,
Carboxymethyl Cellulose Sodium Salt,,
Cellulose,,
Cetyl trimethyl ammonium bromide,,
Chloraphenicol,,
Choline chloride,,
Cis-Platinum-Diammine Dichloride,,
Citric Acid,,
Cobalt (II) nitrate,,
Cobalt chloride,,
Cobalt Nitrate Hexahydrate,,
Comassie blue,,
Congo Red,,
Cupri Sulfate,,
D,,
D-(+)- Galactose,,
D-(+)-Xylose,,
D-(+)-Xylose Sigmaultra,,
D-Adonitol,,
D-Arabinose,,
D-Calcium Pantothenate,,
Dextrose,,
D-Gluconic Acid Lactone,,
Diatomaceous earth,,
Difco Sabouraud Brain Heart infusion agar base,,
Diphenyleneiodonium Chloride,,
D-Isoascorbic acid,,
D-Mannitol,,
